form,date,accession,document,size_bytes,ticker,cik,edgar_url
8-K,2017-05-02,0001628280-17-004663,a8-kq22017412017.htm,430016,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000162828017004663/0001628280-17-004663-index.htm
8-K,2017-03-03,0001193125-17-069853,d348450d8k.htm,234543,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312517069853/0001193125-17-069853-index.htm
8-K,2017-03-01,0001193125-17-064019,d342218d8k.htm,49026,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312517064019/0001193125-17-064019-index.htm
8-K,2017-02-09,0001193125-17-036283,d340350d8k.htm,675606,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312517036283/0001193125-17-036283-index.htm
10-Q,2017-02-01,0001628280-17-000717,a10-qq1201712312016.htm,8206325,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000162828017000717/0001628280-17-000717-index.htm
8-K,2017-01-31,0001628280-17-000663,a8-kq1201712312016.htm,390102,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000162828017000663/0001628280-17-000663-index.htm
8-K,2016-12-15,0001628280-16-022047,form8-k121316.htm,248948,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000162828016022047/0001628280-16-022047-index.htm
10-K,2016-10-26,0001628280-16-020309,a201610-k9242016.htm,13277662,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.htm
8-K,2016-10-25,0001628280-16-020258,a8-kq420169242016.htm,430402,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000162828016020258/0001628280-16-020258-index.htm
8-K,2016-08-04,0001193125-16-672044,d234980d8k.htm,447294,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312516672044/0001193125-16-672044-index.htm
10-Q,2016-07-27,0001628280-16-017809,a10-qq320166252016.htm,9797615,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000162828016017809/0001628280-16-017809-index.htm
8-K,2016-07-26,0001628280-16-017762,a8-kq320166252016.htm,424534,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000162828016017762/0001628280-16-017762-index.htm
8-K,2016-06-22,0001193125-16-628957,d209946d8k.htm,242745,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312516628957/0001193125-16-628957-index.htm
10-Q,2016-04-27,0001193125-16-559625,d165350d10q.htm,6290156,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312516559625/0001193125-16-559625-index.htm
8-K,2016-04-26,0001193125-16-556520,d325078d8k.htm,162435,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312516556520/0001193125-16-556520-index.htm
8-K,2016-03-24,0001193125-16-516891,d161597d8k.htm,324325,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312516516891/0001193125-16-516891-index.htm
8-K,2016-03-01,0001193125-16-488223,d150918d8k.htm,156160,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312516488223/0001193125-16-488223-index.htm
8-K,2016-02-23,0001193125-16-473562,d143184d8k.htm,618263,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312516473562/0001193125-16-473562-index.htm
10-Q,2016-01-27,0001193125-16-439878,d66145d10q.htm,5367146,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312516439878/0001193125-16-439878-index.htm
8-K,2016-01-26,0001193125-16-438421,d22806d8k.htm,693189,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312516438421/0001193125-16-438421-index.htm
8-K,2015-12-22,0001193125-15-410853,d55543d8k.htm,193396,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515410853/0001193125-15-410853-index.htm
8-K,2015-12-17,0001193125-15-406279,d107635d8k.htm,14852,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515406279/0001193125-15-406279-index.htm
10-K,2015-10-28,0001193125-15-356351,d17062d10k.htm,9594425,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.htm
8-K,2015-10-27,0001193125-15-354756,d74332d8k.htm,153314,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515354756/0001193125-15-354756-index.htm
8-K,2015-10-02,0001193125-15-336615,d10101d8k.htm,15305,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515336615/0001193125-15-336615-index.htm
8-K,2015-09-17,0001193125-15-322466,d31615d8k.htm,284884,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515322466/0001193125-15-322466-index.htm
8-K,2015-07-31,0001193125-15-273023,d12789d8k.htm,295730,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515273023/0001193125-15-273023-index.htm
10-Q,2015-07-22,0001193125-15-259935,d927922d10q.htm,6580324,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515259935/0001193125-15-259935-index.htm
8-K,2015-07-21,0001193125-15-258464,d927923d8k.htm,149986,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515258464/0001193125-15-258464-index.htm
8-K,2015-06-10,0001193125-15-219298,d938654d8k.htm,193764,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515219298/0001193125-15-219298-index.htm
8-K,2015-05-13,0001193125-15-186064,d923398d8k.htm,478712,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515186064/0001193125-15-186064-index.htm
10-Q,2015-04-28,0001193125-15-153166,d892246d10q.htm,8633862,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515153166/0001193125-15-153166-index.htm
8-K,2015-04-27,0001193125-15-149607,d914157d8k.htm,27911,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515149607/0001193125-15-149607-index.htm
8-K,2015-04-27,0001193125-15-149590,d901296d8k.htm,151454,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515149590/0001193125-15-149590-index.htm
8-K,2015-03-13,0001104659-15-019336,a15-5624_18k.htm,207059,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000110465915019336/0001104659-15-019336-index.htm
8-K,2015-02-09,0001193125-15-039270,d868302d8k.htm,394923,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312515039270/0001193125-15-039270-index.htm
