form,date,accession,document,size_bytes,ticker,cik
8-K,2024-02-13,0001104659-24-019869,tm245118d5_8k.htm,948459,PM,0001413329
10-K,2024-02-08,0001413329-24-000013,pm-20231231.htm,27653847,PM,0001413329
8-K,2024-02-08,0001413329-24-000012,pm-20240208.htm,3697526,PM,0001413329
8-K,2024-02-02,0001413329-24-000007,pm-20240201.htm,881482,PM,0001413329
8-K,2024-01-24,0001104659-24-006244,tm243707d1_8k.htm,524535,PM,0001413329
8-K,2023-12-08,0001413329-23-000209,pm-20231206.htm,425758,PM,0001413329
8-K,2023-12-07,0001413329-23-000207,pm-20231207.htm,861509,PM,0001413329
10-Q,2023-10-26,0001413329-23-000201,pm-20230930.htm,16405286,PM,0001413329
8-K,2023-10-19,0001413329-23-000196,pm-20231019.htm,3646231,PM,0001413329
8-K,2023-09-28,0001413329-23-000191,pm-20230928.htm,23829798,PM,0001413329
8-K,2023-09-20,0001104659-23-102292,tm2326362d1_8k.htm,546948,PM,0001413329
8-K,2023-09-18,0001413329-23-000186,pm-20230913.htm,455046,PM,0001413329
8-K,2023-09-13,0001413329-23-000182,pm-20230913.htm,866578,PM,0001413329
8-K,2023-09-07,0001104659-23-098933,tm2325184d5_8k.htm,814349,PM,0001413329
8-K,2023-07-28,0001413329-23-000178,pm-20230728.htm,412403,PM,0001413329
10-Q,2023-07-27,0001413329-23-000176,pm-20230630.htm,15752754,PM,0001413329
8-K,2023-07-20,0001413329-23-000173,pm-20230720.htm,3558612,PM,0001413329
8-K,2023-06-09,0001413329-23-000160,pm-20230609.htm,951047,PM,0001413329
8-K,2023-06-06,0001413329-23-000158,pm-20230606.htm,1743342,PM,0001413329
8-K,2023-05-23,0001413329-23-000153,pm-20230523.htm,1075460,PM,0001413329
8-K,2023-05-09,0001413329-23-000151,pm-20230503.htm,538362,PM,0001413329
8-K,2023-05-03,0001413329-23-000124,pm-20230503.htm,976491,PM,0001413329
8-K,2023-05-01,0001104659-23-054345,tm2314168d1_8k.htm,919639,PM,0001413329
10-Q,2023-04-26,0001413329-23-000117,pm-20230331.htm,14085396,PM,0001413329
8-K,2023-04-20,0001413329-23-000114,pm-20230420.htm,2614950,PM,0001413329
8-K,2023-03-28,0001413329-23-000106,pm-20230328.htm,3500301,PM,0001413329
8-K,2023-03-09,0001413329-23-000103,pm-20230309.htm,963219,PM,0001413329
8-K,2023-03-03,0001413329-23-000098,pm-20230227.htm,664485,PM,0001413329
8-K,2023-02-22,0001413329-23-000089,pm-20230222.htm,5900327,PM,0001413329
8-K,2023-02-17,0001193125-23-041987,d731365d8k.htm,819420,PM,0001413329
10-K,2023-02-10,0001413329-23-000025,pm-20221231.htm,26398559,PM,0001413329
8-K,2023-02-09,0001413329-23-000020,pm-20230209.htm,3795618,PM,0001413329
8-K,2023-01-30,0001413329-23-000016,pm-20230125.htm,1082597,PM,0001413329
8-K,2023-01-11,0001413329-23-000014,pm-20230105.htm,523283,PM,0001413329
8-K,2022-12-14,0001413329-22-000137,pm-20221208.htm,513213,PM,0001413329
8-K,2022-12-08,0001413329-22-000135,pm-20221208.htm,975370,PM,0001413329
8-K,2022-11-28,0001413329-22-000132,pm-20221128.htm,592053,PM,0001413329
8-K,2022-11-25,0001413329-22-000129,pm-20221125.htm,761733,PM,0001413329
8-K,2022-11-17,0001193125-22-287701,d417530d8k.htm,878099,PM,0001413329
8-K,2022-11-14,0001413329-22-000125,pm-20221110.htm,514229,PM,0001413329
8-K,2022-11-10,0001413329-22-000123,pm-20221110.htm,579112,PM,0001413329
8-K,2022-11-07,0001413329-22-000119,pm-20221107.htm,590606,PM,0001413329
8-K,2022-10-28,0001413329-22-000117,pm-20221028.htm,590701,PM,0001413329
10-Q,2022-10-27,0001413329-22-000114,pm-20220930.htm,15824970,PM,0001413329
8-K,2022-10-25,0001413329-22-000111,pm-20221025.htm,585716,PM,0001413329
8-K,2022-10-20,0001413329-22-000109,pm-20221020.htm,3705216,PM,0001413329
8-K,2022-10-20,0001413329-22-000105,pm-20221019.htm,1279188,PM,0001413329
8-K,2022-10-04,0001413329-22-000099,pm-20221004.htm,584712,PM,0001413329
