ticker,signal,horizon,corr,pval,n,significant
ACET,roll_21d,2,0.0553,0.6666,63,False
ACET,roll_21d,3,0.0047,0.9707,63,False
ACET,roll_21d,5,-0.1213,0.3435,63,False
ACET,roll_21d,7,0.1345,0.2931,63,False
ACET,roll_21d,10,0.0556,0.6651,63,False
ACET,roll_21d,21,0.0569,0.6576,63,False
ACET,volume_surge,1,-0.0392,0.0298,3082,True
ACET,volume_surge,2,-0.012,0.4359,4204,False
ACET,volume_surge,3,-0.0233,0.1307,4203,False
ACET,volume_surge,5,-0.0027,0.8595,4195,False
ACET,volume_surge,7,-0.0223,0.1493,4196,False
ACET,volume_surge,10,-0.0189,0.2205,4189,False
ACET,volume_surge,21,0.0215,0.1645,4175,False
ACGL,volume_surge,1,-0.0018,0.9074,4203,False
ACGL,volume_surge,2,-0.0063,0.6821,4204,False
ACGL,volume_surge,3,0.0033,0.8329,4203,False
ACGL,volume_surge,5,0.0176,0.2538,4195,False
ACGL,volume_surge,7,0.01,0.5172,4196,False
ACGL,volume_surge,10,0.0111,0.4742,4189,False
ACGL,volume_surge,21,-0.0064,0.6787,4175,False
ACHC,volume_surge,1,-0.0011,0.9432,4203,False
ACHC,volume_surge,2,0.0001,0.9935,4204,False
ACHC,volume_surge,3,0.0028,0.8551,4203,False
ACHC,volume_surge,5,-0.0104,0.5009,4195,False
ACHC,volume_surge,7,-0.0076,0.6214,4196,False
ACHC,volume_surge,10,0.0105,0.4954,4189,False
ACHC,volume_surge,21,-0.0093,0.5474,4175,False
ACHV,volume_surge,1,-0.0178,0.2497,4203,False
ACHV,volume_surge,2,0.0071,0.645,4204,False
ACHV,volume_surge,3,0.016,0.2997,4203,False
ACHV,volume_surge,5,-0.0066,0.6673,4195,False
ACHV,volume_surge,7,-0.0145,0.3488,4196,False
ACHV,volume_surge,10,0.0002,0.9915,4189,False
ACHV,volume_surge,21,-0.0028,0.8575,4175,False
ACIC,volume_surge,1,0.0021,0.8916,4203,False
ACIC,volume_surge,2,-0.0074,0.6327,4204,False
ACIC,volume_surge,3,-0.0028,0.8557,4203,False
ACIC,volume_surge,5,0.0036,0.8177,4195,False
ACIC,volume_surge,7,-0.007,0.6516,4196,False
ACIC,volume_surge,10,-0.0086,0.5797,4189,False
ACIC,volume_surge,21,0.0221,0.1539,4175,False
ACIW,adaptive_sentiment,1,0.0315,0.4797,505,False
ACIW,adaptive_sentiment,2,-0.0065,0.8839,504,False
ACIW,adaptive_sentiment,3,0.013,0.7705,503,False
ACIW,adaptive_sentiment,5,-0.0007,0.9883,501,False
ACIW,adaptive_sentiment,7,-0.0135,0.7624,501,False
ACIW,adaptive_sentiment,10,0.0778,0.0821,501,False
ACIW,adaptive_sentiment,21,-0.016,0.7213,501,False
ACIW,roll_3d,1,-0.0208,0.8477,88,False
ACIW,roll_3d,2,-0.0121,0.9107,88,False
ACIW,roll_3d,3,0.013,0.9046,87,False
ACIW,roll_3d,5,-0.0797,0.4684,85,False
ACIW,roll_3d,7,-0.0641,0.5598,85,False
ACIW,roll_3d,10,0.1269,0.247,85,False
ACIW,roll_3d,21,-0.0433,0.6942,85,False
ACIW,roll_5d,1,-0.0024,0.9771,145,False
ACIW,roll_5d,2,0.0078,0.9263,144,False
ACIW,roll_5d,3,0.0382,0.6507,143,False
ACIW,roll_5d,5,-0.0976,0.2498,141,False
ACIW,roll_5d,7,-0.0252,0.7663,141,False
ACIW,roll_5d,10,0.1094,0.1966,141,False
